topo,V,D,EPR,traffic,ave_phi
DDF,36,5,3,uniform,0.39465191332411453
DDF,36,5,3,shift-half,0.17777777777777778
DDF,36,5,3,nearst-neighbour,0.9324618736383442
DDF,36,5,3,shift-1,0.8
DDF,36,5,3,router-cluster,0.24074074074074095
DDF,36,5,3,random-permute,1.0
DDF,114,8,4,uniform,0.31641168289291055
DDF,114,8,4,shift-half,0.07999999999999997
DDF,114,8,4,nearst-neighbour,0.9978070175438597
DDF,114,8,4,shift-1,0.8888888888888888
DDF,114,8,4,router-cluster,0.19686411149825664
DDF,114,8,4,random-permute,1.0
DDF,264,11,6,uniform,0.2458265393275857
DDF,264,11,6,shift-half,0.07843137254902002
DDF,264,11,6,nearst-neighbour,0.9405822935234701
DDF,264,11,6,shift-1,0.8
DDF,264,11,6,router-cluster,0.14342774146695583
DDF,264,11,6,random-permute,1.0
Slimfly,18,5,3,uniform,0.43221202854230395
Slimfly,18,5,3,shift-half,0.2962962962962963
Slimfly,18,5,3,nearst-neighbour,0.9814814814814815
Slimfly,18,5,3,shift-1,0.8888888888888888
Slimfly,18,5,3,router-cluster,0.4740740740740739
Slimfly,18,5,3,random-permute,1.0
Slimfly,32,6,3,uniform,0.39645279081898915
Slimfly,32,6,3,shift-half,0.2962962962962963
Slimfly,32,6,3,nearst-neighbour,0.9895833333333334
Slimfly,32,6,3,shift-1,0.7999999999999999
Slimfly,32,6,3,router-cluster,0.4088888888888886
Slimfly,32,6,3,random-permute,1.0
Slimfly,50,7,4,uniform,0.2163043478260882
Slimfly,50,7,4,shift-half,0.2
Slimfly,50,7,4,nearst-neighbour,0.7959999999999999
Slimfly,50,7,4,shift-1,0.8888888888888888
Slimfly,50,7,4,router-cluster,0.22477064220183485
Slimfly,50,7,4,random-permute,1.0
Slimfly,98,11,6,uniform,0.3497170092344336
Slimfly,98,11,6,shift-half,0.08888888888888888
Slimfly,98,11,6,nearst-neighbour,0.9982993197278912
Slimfly,98,11,6,shift-1,0.7999999999999999
Slimfly,98,11,6,router-cluster,0.3469994058229349
Slimfly,98,11,6,random-permute,1.0
Slimfly,128,12,6,uniform,0.37296377340141224
Slimfly,128,12,6,shift-half,0.10256410256410257
Slimfly,128,12,6,nearst-neighbour,0.6947463768115942
Slimfly,128,12,6,shift-1,0.6153846153846154
Slimfly,128,12,6,router-cluster,0.30981346309813407
Slimfly,128,12,6,random-permute,1.0
Slimfly,162,13,7,uniform,0.32058854737735704
Slimfly,162,13,7,shift-half,0.05442176870748296
Slimfly,162,13,7,nearst-neighbour,0.6950387240242313
Slimfly,162,13,7,shift-1,0.5
Slimfly,162,13,7,router-cluster,0.24262240508739077
Slimfly,162,13,7,random-permute,1.0
Slimfly,242,17,9,uniform,0.270455780728323
Slimfly,242,17,9,shift-half,0.04678362573099451
Slimfly,242,17,9,nearst-neighbour,0.888480767268646
Slimfly,242,17,9,shift-1,0.5333333333333333
Slimfly,242,17,9,router-cluster,0.3019558212818297
Slimfly,242,17,9,random-permute,1.0
Polarfly,13,4,2,uniform,0.4761904761904762
Polarfly,13,4,2,shift-half,0.380952380952381
Polarfly,13,4,2,nearst-neighbour,0.6993006993006993
Polarfly,13,4,2,shift-1,0.6666666666666666
Polarfly,13,4,2,router-cluster,0.4858299595141701
Polarfly,13,4,2,random-permute,1.0
Polarfly,31,6,3,uniform,0.35249042145593834
Polarfly,31,6,3,shift-half,0.3076923076923077
Polarfly,31,6,3,nearst-neighbour,0.879330943847073
Polarfly,31,6,3,shift-1,0.8
Polarfly,31,6,3,router-cluster,0.36731545755637224
Polarfly,31,6,3,random-permute,1.0
Polarfly,57,8,4,uniform,0.4729166666666678
Polarfly,57,8,4,shift-half,0.36363636363636365
Polarfly,57,8,4,nearst-neighbour,0.9956140350877194
Polarfly,57,8,4,shift-1,1.0
Polarfly,57,8,4,router-cluster,0.3251088534107402
Polarfly,57,8,4,random-permute,1.0
Polarfly,91,10,5,uniform,0.3773506493506486
Polarfly,91,10,5,shift-half,0.26666666666666666
Polarfly,91,10,5,nearst-neighbour,0.9978021978021978
Polarfly,91,10,5,shift-1,0.8
Polarfly,91,10,5,router-cluster,0.30852419677376314
